Market,State,Weeks,Periods,Month,Year,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U
Indianapolis,Indiana,01/08/2021,P1,8,2021,68424.91646,197002.5963,42374.51319,331951.9227,1637.931465,120952.2404,5001.117833,13196.84811,3231.664994,21457.7641,339.2191365,7482.823611
Louisville,Kentucky,01/08/2021,P1,8,2021,36222.91174,0,0,177892.4357,1709.235622,65342.93711,3127.412383,0,0,13011.85424,367.9627388,4688.758376
San Diego,California,01/08/2021,P1,8,2021,64885.67583,254357.4414,51524.77359,332385.1667,1698.266984,115571.4445,12585.67307,45369.77978,10371.10083,56697.83356,383.7336947,18881.74476
Kansas City,Kansas,01/08/2021,P1,8,2021,57401.12003,161532.7142,35833.79608,283966.6564,1565.186823,88460.70053,2706.984075,6177.762493,1370.724823,13422.39349,220.2502894,3940.118001
Miami/Ft Lauderdale,Florida,01/08/2021,P1,8,2021,71087.51156,174794.4202,31225.39919,445276.8756,1624.119514,175340.7255,19582.397,65271.865,12738.72524,101065.2367,345.6827901,26129.54656
Orlando,Florida,01/08/2021,P1,8,2021,77086.07868,154467.862,32367.56297,419221.8328,1645.747077,151053.4892,12838.26143,30428.59371,5685.21496,65677.85339,365.7505121,17974.22703
Birmingham/Montgomery,Alabama,01/08/2021,P1,8,2021,109835.8427,0,0,580271.3168,1742.564427,215653.1106,9997.14371,0,0,50310.65941,300.9558664,15274.67445
Little Rock,Arkansas,01/08/2021,P1,8,2021,26125.59687,0,0,130903.2505,1853.72331,49154.47575,1903.533279,0,0,8555.519365,300.3261936,3031.46933
Peoria/Springfield,Illinois,01/08/2021,P1,8,2021,55942.95855,169555.7355,37015.90053,273719.2629,1644.237408,94361.87335,3958.701529,11631.20629,2674.316335,18620.92804,303.1089869,6206.952656
Charlotte,Carolina del Norte,01/08/2021,P1,8,2021,67194.4574,0,0,364623.4668,1676.832007,125085.5746,10142.93526,0,0,45687.80502,328.4887956,14852.18372
Chicago,Illinois,01/08/2021,P1,8,2021,209612.5357,791806.6524,160876.3904,1083018.777,1590.629577,386020.8202,19873.81695,47905.52076,11121.20662,95780.37875,304.249382,28998.14236
Los Angeles,California,01/08/2021,P1,8,2021,381573.2984,1517816.7,315485.9818,1905421.859,1770.513348,673361.0657,41743.48042,146086.5122,34470.5164,183484.8647,379.0404408,65759.53144
Sacramento,California,01/08/2021,P1,8,2021,52635.81542,0,0,272137.1176,1836.642222,90119.13335,7539.026374,0,0,37209.01434,396.2309873,11010.79527
Des Moines,Iowa,01/08/2021,P1,8,2021,25522.30741,0,0,121961.2033,1519.791494,37091.89234,1303.537702,0,0,6089.542836,251.1501507,1894.508803
Jacksonville,Florida,01/08/2021,P1,8,2021,31703.12251,60768.9917,12827.29177,179657.9922,1675.880117,65009.03182,5193.994973,14312.92821,2720.100138,27405.51249,342.5481104,7340.048731
South Carolina,Carolina del Sur,01/08/2021,P1,8,2021,126530.0955,0,0,671284.0709,1660.298362,244649.3177,16342.0622,0,0,74241.55057,312.1651311,24453.69703
Tampa/St Petersburg,Florida,01/08/2021,P1,8,2021,65363.09332,121071.0994,24982.20059,362536.6916,1615.791592,131220.2006,11808.55895,35323.75851,6326.603379,63381.32023,343.3755118,16753.58127
Raleigh/Greensboro,Carolina del Norte,01/08/2021,P1,8,2021,79305.24418,0,0,427446.1438,1613.200493,146981.8796,12824.73258,0,0,55470.23089,316.1134283,18818.29108
San Francisco/Oakland,California,01/08/2021,P1,8,2021,73482.87846,286315.0889,56076.32912,393809.1739,1752.714767,139447.8727,12454.68685,38110.50602,7665.323791,63398.60412,374.7999405,18162.40725
Boise,Idaho,01/08/2021,P1,8,2021,14649.47145,0,0,69385.64069,2093.671927,25150.57262,1858.239181,0,0,9109.937879,396.4100819,2646.783409
