Market,State,Weeks,Periods,TORTILLAS_KGS,TORTILLAS_PROMODOLLARS,TORTILLAS_PROMOKGS,TORTILLAS_DOLLARS,TORTILLAS_TDP,TORTILLAS_U,TOSTADAS_KGS,TOSTADAS_PROMODOLLARS,TOSTADAS_PROMOKGS,TOSTADAS_DOLLARS,TOSTADAS_TDP,TOSTADAS_U,TARTAS_KGS,TARTAS_PROMODOLLARS,TARTAS_PROMOKGS,TARTAS_DOLLARS,TARTAS_TDP,TARTAS_U,GALLETAS_KGS,GALLETAS_PROMODOLLARS,GALLETAS_PROMOKGS,GALLETAS_DOLLARS,GALLETAS_TDP,GALLETAS_U
Tampa/St Petersburg,Florida,18/07/2021,P1,84668.53791,292452.2653,60246.93653,431300.1498,1723.348095,169596.282,15174.14819,49711.90596,11424.49271,67663.84668,350.045221,21737.07067,130970.239,490661.1245,90189.11408,725749.5886,3540.851809,278371.1214,73551.82147,216755.9117,49590.07749,323770.5754,939.9793638,98438.10656
Kansas City,Kansas,18/07/2021,P1,52402.71821,154500.5212,32642.17529,269668.0643,1651.467072,86723.49721,4190.735142,5509.461423,1222.053023,22173.01148,286.0818683,6104.993162,78164.96918,185358.886,36629.377,415272.1191,3681.431898,146761.828,32837.96821,53933.55038,12288.36264,153907.0477,954.6747317,39945.84434
San Francisco/Oakland,California,18/07/2021,P1,61669.66631,143509.743,25993.21072,363399.4267,1802.549651,119177.7344,15109.82592,51432.50158,9835.720953,79269.49922,380.1307425,22078.87856,116404.5578,497679.0429,86391.51522,689513.3894,3665.920375,246217.881,35861.30158,82271.85771,16254.2971,177929.0258,906.3236547,46816.88833
Boise,Idaho,18/07/2021,P1,14904.02109,0,0,70675.06866,2093.305321,25106.07579,1935.586683,0,0,9828.88989,376.2050123,2742.930033,21211.16406,0,0,108238.5533,4183.238915,39634.93725,4345.626519,0,0,20166.96412,845.1514287,5546.734097
Phoenix/Tucson,Arizona,18/07/2021,P1,139904.5704,435995.2462,95311.24565,679594.0617,1798.164434,243221.5256,16624.31412,16655.88348,3330.295753,84825.5077,425.7767273,25805.8352,159125.3258,480588.3725,90135.99914,864300.8958,4127.684381,310452.3536,58970.7556,85544.08089,18738.37308,274719.2281,904.8637161,74881.19456
Birmingham/Montgomery,Alabama,18/07/2021,P1,117951.3174,0,0,601885.0671,1814.576054,233125.9171,10043.29489,0,0,46392.79378,287.5550346,14353.51095,175861.8748,0,0,964460.6794,3787.42668,374818.8178,72063.54091,0,0,328777.2923,883.9949654,95310.48267
Louisville,Kentucky,18/07/2021,P1,39882.22111,0,0,193945.2572,1695.702521,71599.35383,2948.319871,0,0,14338.37938,362.7046391,4295.725195,44812.76227,0,0,243582.0188,4000.006863,86335.73447,19785.18685,0,0,91863.24005,802.9438058,25946.62933
Peoria/Springfield,Illinois,18/07/2021,P1,56069.70903,184006.8193,38445.48071,272602.4652,1651.36297,95659.21126,3624.632853,3351.016091,659.6579142,17930.45939,309.3997924,5277.567204,70419.39869,229883.0406,44040.08319,365496.4357,3652.50683,132816.535,30791.39407,30875.12915,6428.101952,142917.2755,893.4347653,39161.64474
Atlanta,Georgia,18/07/2021,P1,117390.0738,0,0,617293.2531,1786.956368,252442.8504,17088.48182,0,0,78905.15719,374.3635716,24611.46221,180252.3458,0,0,1008116.515,4010.858432,394592.3411,80640.86657,0,0,366415.8245,935.1027517,106718.4672
Chicago,Illinois,18/07/2021,P1,212982.5939,699540.7671,159851.7883,1032278.556,1604.956271,411776.9538,17649.07439,33694.59253,6415.371233,94070.09963,305.3663489,25724.1516,214397.3251,730419.231,136417.1406,1203342.501,3082.341796,403298.7653,80825.55444,146194.4294,30159.30377,392578.539,845.9899143,103347.079
Wichita,Kansas,25/07/2021,P1,28370.12071,0,0,132735.1934,1609.547863,44960.87612,1496.894193,0,0,6782.953151,280.8530177,2192.854681,31793.45004,0,0,160845.1953,3802.536052,57544.79589,12223.90961,0,0,53048.79307,856.9637246,16062.01045
Atlanta,Georgia,25/07/2021,P1,108557.1075,0,0,598666.7089,1763.332007,227785.0158,15407.90781,0,0,78508.11155,369.78085,22162.51275,175413.0616,0,0,1034259.738,3961.553357,383106.2503,78804.1,0,0,385979.9778,935.8187809,103154.7597
Indianapolis,Indiana,25/07/2021,P1,69846.24252,233071.8657,48899.80799,346714.6126,1614.937028,123923.3334,5502.820129,12550.03232,2724.778215,25800.32958,344.7880271,8137.914027,84605.54404,306406.9831,58816.57683,441694.1218,3846.965377,159958.8429,35349.23975,67104.14285,14763.36857,158390.5686,877.8513887,46188.46622
Louisville,Kentucky,25/07/2021,P1,36687.6404,0,0,185232.6783,1673.824983,67028.21645,3075.491239,0,0,14283.79286,369.6622139,4504.465511,49827.25384,0,0,267583.9288,3919.059578,97873.95499,20260.56977,0,0,90599.19239,798.4379187,26694.55796
San Diego,California,25/07/2021,P1,62820.01686,207182.82,42097.56807,322509.4496,1732.869534,112086.1085,10193.64896,30295.63634,6516.156582,48927.31416,380.8705872,15397.95089,75176.39077,249123.1247,45496.48097,430479.0635,3620.407296,154187.6734,27382.52419,72425.30083,15933.74952,125271.1387,897.2865177,35602.11407
Kansas City,Kansas,25/07/2021,P1,60641.6819,160935.4993,37060.72193,298418.1525,1605.611734,93757.5338,3185.798544,6341.864934,1360.809356,16460.12571,256.7104498,4638.454372,76620.95879,198988.8071,37428.82762,417840.6867,3550.455871,137837.5584,29566.71871,43602.06595,10385.75625,139099.2875,897.0256738,36568.7097
Miami/Ft Lauderdale,Florida,25/07/2021,P1,72042.05068,178236.2946,31058.0746,456622.5784,1646.926924,179206.8095,20383.31573,70274.14613,13744.47532,104160.4661,348.4136541,27180.49002,105042.6955,387007.8775,62999.12373,686069.3143,3185.453456,265061.9697,65135.75405,250150.8274,47135.94946,337666.7871,863.1482788,86538.98148
Orlando,Florida,25/07/2021,P1,78409.42884,177322.5043,35787.23362,428081.8107,1669.561564,152340.9749,13810.21985,37406.79076,7440.124698,68992.75053,378.8327478,19088.71772,116414.7549,372302.4207,63588.69178,685510.7386,3591.317519,245730.6456,71044.23254,235059.9738,47650.53018,341449.7142,939.8568227,91098.79715
Birmingham/Montgomery,Alabama,25/07/2021,P1,110288.0063,0,0,574468.5873,1760.095339,218499.9193,9934.945836,0,0,49839.64956,297.8322959,14977.761,172266.3903,0,0,965082.5145,3736.073423,365937.365,71091.05799,0,0,339782.8059,863.159168,93274.56702
Little Rock,Arkansas,25/07/2021,P1,26825.33832,0,0,132559.2535,1847.794985,50184.90609,1611.142458,0,0,7625.84624,310.4521186,2537.284142,27553.20716,0,0,151376.985,3892.081231,55412.48659,11322.02352,0,0,50635.35702,822.570402,14683.82684
Peoria/Springfield,Illinois,25/07/2021,P1,54008.51288,152463.3293,33155.15992,267360.6248,1608.275602,91364.97788,3785.466316,9269.052192,2065.68349,18353.86678,312.2033869,5825.873348,73888.70209,233382.9208,45020.09099,388364.2067,3584.148824,137633.4566,32066.43444,76510.22853,17733.09007,143141.9703,874.8906262,41244.6357
Charlotte,Carolina del Norte,25/07/2021,P1,64640.19148,0,0,351632.0019,1672.966467,117465.3845,8452.068867,0,0,42988.14246,325.9896245,12328.42752,84274.35591,0,0,486275.2477,3486.15556,167422.9777,48407.85241,0,0,228034.51,948.1923182,63217.868
